citekey,title,year,journal,doi,source_url,pubmed_url,review_url
Karen_2024_Impact_Using,The Impact of Using Electronic Consents on Documentation of Language-Concordant Surgical Consent for Patients with Limited English Proficiency,2024,The Joint Commission Journal on Quality and Patient Safety,10.1016/j.jcjq.2024.03.005,https://doi.org/10.1016/j.jcjq.2024.03.005,https://pubmed.ncbi.nlm.nih.gov/38565472/,https://SITE_BASE/review/accuracy/%40Karen_2024_Impact_Using
Khanna_2011_Performance_online,Performance of an online translation tool when applied to patient educational material,2011,Journal of Hospital Medicine,10.1002/jhm.898,https://doi.org/10.1002/jhm.898,https://pubmed.ncbi.nlm.nih.gov/22034196/,https://SITE_BASE/review/accuracy/%40Khanna_2011_Performance_online
Kristen_2023_Optimizing_usability,Optimizing usability of a mobile health intervention for Spanish-speaking Latinx people with HIV through user-centered design: a post-implementation study,2023,JSMIA Open,10.1093/jamiaopen/ooad083,https://doi.org/10.1093/jamiaopen/ooad083,https://pubmed.ncbi.nlm.nih.gov/37732327/,https://SITE_BASE/review/accuracy/%40Kristen_2023_Optimizing_usability
Linda_2023_Improving_Communication,Improving Communication for Surgical Patients With Cancer With Limited English Proficiency,2023,Clinical Journal of Oncology Nursing,10.1188/23.cjon.359-363,https://doi.org/10.1188/23.cjon.359-363,https://pubmed.ncbi.nlm.nih.gov/37677773/,https://SITE_BASE/review/accuracy/%40Linda_2023_Improving_Communication
Narang_2019_Use_Mobile,The Use of a Mobile Application to Increase Access to Interpreters for Cancer Patients With Limited English Proficiency: A Pilot Study,2019,Med Care,10.1097/mlr.0000000000001035,https://doi.org/10.1097/mlr.0000000000001035,https://pubmed.ncbi.nlm.nih.gov/31095059/,https://SITE_BASE/review/accuracy/%40Narang_2019_Use_Mobile
Panayiotou_2020_perceptions_translation,The perceptions of translation apps for everyday health care in healthcare workers and older people: A multi-method study,2020,Journal of Clinical Nursing,10.1111/jocn.15390,https://doi.org/10.1111/jocn.15390,https://pubmed.ncbi.nlm.nih.gov/32558965/,https://SITE_BASE/review/accuracy/%40Panayiotou_2020_perceptions_translation
Rishivardhan_2024_Voice-Enabled_Response,Voice-Enabled Response Analysis Agent (VERAA): Leveraging Large Language Models to Map Voice Responses in SDoH Survey,2024,AMIA Joint Summits on Translational Science,,https://pubmed.ncbi.nlm.nih.gov/38827075/,https://pubmed.ncbi.nlm.nih.gov/38827075/,https://SITE_BASE/review/accuracy/%40Rishivardhan_2024_Voice-Enabled_Response
Soller_2012_Performance_new,Performance of a new speech translation device in translating verbal recommendations of medication action plans for patients with diabetes,2012,Journal of Diabetes Science and Technology,10.1177/193229681200600426,https://doi.org/10.1177/193229681200600426,https://pubmed.ncbi.nlm.nih.gov/22920821/,https://SITE_BASE/review/accuracy/%40Soller_2012_Performance_new
Turner_2014_comparison_human,"A comparison of human and machine translation of health promotion materials for public health practice: time, costs, and quality",2014,Journal of Public Health Management and Practice,10.1097/phh.0b013e3182a95c87,https://doi.org/10.1097/phh.0b013e3182a95c87,https://pubmed.ncbi.nlm.nih.gov/24084391/,https://SITE_BASE/review/accuracy/%40Turner_2014_comparison_human
Turner_2015_Machine_Translation,Machine Translation of Public Health Materials From English to Chinese: A Feasibility Study,2015,JMIR Public Health Surveill,10.2196/publichealth.4779,https://doi.org/10.2196/publichealth.4779,https://pubmed.ncbi.nlm.nih.gov/27227135/,https://SITE_BASE/review/accuracy/%40Turner_2015_Machine_Translation
Turner_2015_Modeling_workflow,Modeling workflow to design machine translation applications for public health practice,2015,Journal of Biomedical Informatics,10.1016/j.jbi.2014.10.005,https://doi.org/10.1016/j.jbi.2014.10.005,https://pubmed.ncbi.nlm.nih.gov/25445922/,https://SITE_BASE/review/accuracy/%40Turner_2015_Modeling_workflow
